---,DataID,CharacterName,Description,Grade,AttackType,ClassType,HPMultiplier,AttackMultiplier,DefenseMultiplier,CharacterTexture,SkillIDs,CharacterMesh,AnimBlueprintClass,DeathMontage,NormalAttackMontage,BehaviorTree,SummonCost,SummonCooldown,PortraitIcon,MemberAbilities,PlayerBasicAttackAbility,HitMontage,PlayerScale,MemberScale,MemberWeaponID,PortraitFrame
60,Rogue_R,Rogue,"NSLOCTEXT(""DT"", ""Rogue_R"", ""濡쒓렇 R?깃툒"")",R,MELEE,WARRIOR,1.8,1.1,1.8,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Rogue.Icon_Rogue,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Rogue/SKM_Rogue_Base.SKM_Rogue_Base,/Game/Blueprint/PlayerCharacter/ABP/19_Rogue/ABP_Rogue.ABP_Rogue_C,/Game/Blueprint/PlayerCharacter/ABP/19_Rogue/Rogue_Base_Dead_Anim_Rogue_Base_Dead_Montage.Rogue_Base_Dead_Anim_Rogue_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/19_Rogue/Rogue_Base_Attack2_Anim_Rogue_Base_Attack2_Montage.Rogue_Base_Attack2_Anim_Rogue_Base_Attack2_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',6,7,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Rogue.Icon_Portrait,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Rogue.GA_Attack_Rogue_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Rogue.GA_Attack_Rogue_C',/Game/Blueprint/PlayerCharacter/ABP/19_Rogue/Rogue_Base_Damage_Anim_Rogue_Base_Attacked_Montage.Rogue_Base_Damage_Anim_Rogue_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.300000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_20Lv_Frame.Icon_20Lv_Frame
61,Rogue_SR,Rogue,"NSLOCTEXT(""DT"", ""Rogue_SR"", ""濡쒓렇 SR?깃툒"")",SR,MELEE,WARRIOR,2.7,1.6,2.7,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Rogue.Icon_Rogue,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Rogue/SKM_Rogue_Base.SKM_Rogue_Base,/Game/Blueprint/PlayerCharacter/ABP/19_Rogue/ABP_Rogue.ABP_Rogue_C,/Game/Blueprint/PlayerCharacter/ABP/19_Rogue/Rogue_Base_Dead_Anim_Rogue_Base_Dead_Montage.Rogue_Base_Dead_Anim_Rogue_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/19_Rogue/Rogue_Base_Attack2_Anim_Rogue_Base_Attack2_Montage.Rogue_Base_Attack2_Anim_Rogue_Base_Attack2_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',8,9,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Rogue.Icon_Rogue,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Rogue.GA_Attack_Rogue_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Rogue.GA_Attack_Rogue_C',/Game/Blueprint/PlayerCharacter/ABP/19_Rogue/Rogue_Base_Damage_Anim_Rogue_Base_Attacked_Montage.Rogue_Base_Damage_Anim_Rogue_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.300000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_30Lv_Frame.Icon_30Lv_Frame
62,Rogue_SSR,Rogue,"NSLOCTEXT(""DT"", ""Rogue_SSR"", ""濡쒓렇 SSR?깃툒"")",SSR,MELEE,WARRIOR,4.1,2.5,4.1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Rogue.Icon_Rogue,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Rogue/SKM_Rogue_Base.SKM_Rogue_Base,/Game/Blueprint/PlayerCharacter/ABP/19_Rogue/ABP_Rogue.ABP_Rogue_C,/Game/Blueprint/PlayerCharacter/ABP/19_Rogue/Rogue_Base_Dead_Anim_Rogue_Base_Dead_Montage.Rogue_Base_Dead_Anim_Rogue_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/19_Rogue/Rogue_Base_Attack2_Anim_Rogue_Base_Attack2_Montage.Rogue_Base_Attack2_Anim_Rogue_Base_Attack2_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',12,12,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Rogue.Icon_Rogue,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Rogue.GA_Attack_Rogue_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Rogue.GA_Attack_Rogue_C',/Game/Blueprint/PlayerCharacter/ABP/19_Rogue/Rogue_Base_Damage_Anim_Rogue_Base_Attacked_Montage.Rogue_Base_Damage_Anim_Rogue_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.300000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_50Lv_Frame.Icon_50Lv_Frame
63,Tinker_N,Tinker,"NSLOCTEXT(""DT"", ""Tinker_N"", ""?낆빱 N?깃툒"")",N,RANGED,ARCHER,1,1,1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Tinker.Icon_Tinker,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Tinker/SKM_Tinker_Base.SKM_Tinker_Base,/Game/Blueprint/PlayerCharacter/ABP/20_Thinker/ABP_Tinker.ABP_Tinker_C,/Game/Blueprint/PlayerCharacter/ABP/20_Thinker/Tinker_Base_Dead_Anim_Tinker_Base_Dead_Montage.Tinker_Base_Dead_Anim_Tinker_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/20_Thinker/Tinker_Base_Tag_Shot_Ready_Anim_Tinker_Base_Tag_Shot_Ready_Montage.Tinker_Base_Tag_Shot_Ready_Anim_Tinker_Base_Tag_Shot_Ready_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',5,5,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Tinker.Icon_Tinker,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Tinker.GA_Attack_Tinker_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Tinker.GA_Attack_Tinker_C',/Game/Blueprint/PlayerCharacter/ABP/20_Thinker/Tinker_Base_Damage_Anim_Tinker_Base_Attacked_Montage.Tinker_Base_Damage_Anim_Tinker_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.300000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_10Lv_Frame.Icon_10Lv_Frame
64,Tinker_R,Tinker,"NSLOCTEXT(""DT"", ""Tinker_R"", ""?낆빱 R?깃툒"")",R,RANGED,ARCHER,1.4,1.4,1.4,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Tinker.Icon_Tinker,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Tinker/SKM_Tinker_Base.SKM_Tinker_Base,/Game/Blueprint/PlayerCharacter/ABP/20_Thinker/ABP_Tinker.ABP_Tinker_C,/Game/Blueprint/PlayerCharacter/ABP/20_Thinker/Tinker_Base_Dead_Anim_Tinker_Base_Dead_Montage.Tinker_Base_Dead_Anim_Tinker_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/20_Thinker/Tinker_Base_Tag_Shot_Ready_Anim_Tinker_Base_Tag_Shot_Ready_Montage.Tinker_Base_Tag_Shot_Ready_Anim_Tinker_Base_Tag_Shot_Ready_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',6,7,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Tinker.Icon_Tinker,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Tinker.GA_Attack_Tinker_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Tinker.GA_Attack_Tinker_C',/Game/Blueprint/PlayerCharacter/ABP/20_Thinker/Tinker_Base_Damage_Anim_Tinker_Base_Attacked_Montage.Tinker_Base_Damage_Anim_Tinker_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.300000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_20Lv_Frame.Icon_20Lv_Frame
65,Tinker_SR,Tinker,"NSLOCTEXT(""DT"", ""Tinker_SR"", ""?낆빱 SR?깃툒"")",SR,RANGED,ARCHER,2.1,2.1,2.1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Tinker.Icon_Tinker,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Tinker/SKM_Tinker_Base.SKM_Tinker_Base,/Game/Blueprint/PlayerCharacter/ABP/20_Thinker/ABP_Tinker.ABP_Tinker_C,/Game/Blueprint/PlayerCharacter/ABP/20_Thinker/Tinker_Base_Dead_Anim_Tinker_Base_Dead_Montage.Tinker_Base_Dead_Anim_Tinker_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/20_Thinker/Tinker_Base_Tag_Shot_Ready_Anim_Tinker_Base_Tag_Shot_Ready_Montage.Tinker_Base_Tag_Shot_Ready_Anim_Tinker_Base_Tag_Shot_Ready_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',8,9,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Tinker.Icon_Tinker,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Tinker.GA_Attack_Tinker_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Tinker.GA_Attack_Tinker_C',/Game/Blueprint/PlayerCharacter/ABP/20_Thinker/Tinker_Base_Damage_Anim_Tinker_Base_Attacked_Montage.Tinker_Base_Damage_Anim_Tinker_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.300000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_30Lv_Frame.Icon_30Lv_Frame
66,Tinker_SSR,Tinker,"NSLOCTEXT(""DT"", ""Tinker_SSR"", ""?낆빱 SSR?깃툒"")",SSR,RANGED,ARCHER,3.2,3.2,3.2,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Tinker.Icon_Tinker,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Tinker/SKM_Tinker_Base.SKM_Tinker_Base,/Game/Blueprint/PlayerCharacter/ABP/20_Thinker/ABP_Tinker.ABP_Tinker_C,/Game/Blueprint/PlayerCharacter/ABP/20_Thinker/Tinker_Base_Dead_Anim_Tinker_Base_Dead_Montage.Tinker_Base_Dead_Anim_Tinker_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/20_Thinker/Tinker_Base_Tag_Shot_Ready_Anim_Tinker_Base_Tag_Shot_Ready_Montage.Tinker_Base_Tag_Shot_Ready_Anim_Tinker_Base_Tag_Shot_Ready_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',12,12,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Tinker.Icon_Tinker,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Tinker.GA_Attack_Tinker_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Tinker.GA_Attack_Tinker_C',/Game/Blueprint/PlayerCharacter/ABP/20_Thinker/Tinker_Base_Damage_Anim_Tinker_Base_Attacked_Montage.Tinker_Base_Damage_Anim_Tinker_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.300000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_50Lv_Frame.Icon_50Lv_Frame
67,Tuner_N,Tuner,"NSLOCTEXT(""DT"", ""Tuner_N"", ""?쒕꼫 N?깃툒"")",N,RANGED,ARCHER,1,1,1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Tuner.Icon_Tuner,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Tuner/SKM_Tuner_Base.SKM_Tuner_Base,/Game/Blueprint/PlayerCharacter/ABP/21_Tuner/ABP_Tuner.ABP_Tuner_C,/Game/Blueprint/PlayerCharacter/ABP/21_Tuner/Tuner_Base_Dead_Montage.Tuner_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/21_Tuner/Tuner_Base_Attack_Montage.Tuner_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',5,5,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Tuner.Icon_Tuner,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Tuner.GA_Attack_Tuner_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Tuner.GA_Attack_Tuner_C',/Game/Blueprint/PlayerCharacter/ABP/21_Tuner/Tuner_Base_Damage_Montage.Tuner_Base_Damage_Montage,"(X=3.200000,Y=3.200000,Z=3.300000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_10Lv_Frame.Icon_10Lv_Frame
68,Tuner_R,Tuner,"NSLOCTEXT(""DT"", ""Tuner_R"", ""?쒕꼫 R?깃툒"")",R,RANGED,ARCHER,1.4,1.4,1.4,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Tuner.Icon_Tuner,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Tuner/SKM_Tuner_Base.SKM_Tuner_Base,/Game/Blueprint/PlayerCharacter/ABP/21_Tuner/ABP_Tuner.ABP_Tuner_C,/Game/Blueprint/PlayerCharacter/ABP/21_Tuner/Tuner_Base_Dead_Montage.Tuner_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/21_Tuner/Tuner_Base_Attack_Montage.Tuner_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',6,7,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Tuner.Icon_Tuner,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Tuner.GA_Attack_Tuner_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Tuner.GA_Attack_Tuner_C',/Game/Blueprint/PlayerCharacter/ABP/21_Tuner/Tuner_Base_Damage_Montage.Tuner_Base_Damage_Montage,"(X=3.200000,Y=3.200000,Z=3.300000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_20Lv_Frame.Icon_20Lv_Frame
69,Tuner_SR,Tuner,"NSLOCTEXT(""DT"", ""Tuner_SR"", ""?쒕꼫 SR?깃툒"")",SR,RANGED,ARCHER,2.1,2.1,2.1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Tuner.Icon_Tuner,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Tuner/SKM_Tuner_Base.SKM_Tuner_Base,/Game/Blueprint/PlayerCharacter/ABP/21_Tuner/ABP_Tuner.ABP_Tuner_C,/Game/Blueprint/PlayerCharacter/ABP/21_Tuner/Tuner_Base_Dead_Montage.Tuner_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/21_Tuner/Tuner_Base_Attack_Montage.Tuner_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',8,9,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Tuner.Icon_Tuner,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Tuner.GA_Attack_Tuner_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Tuner.GA_Attack_Tuner_C',/Game/Blueprint/PlayerCharacter/ABP/21_Tuner/Tuner_Base_Damage_Montage.Tuner_Base_Damage_Montage,"(X=3.200000,Y=3.200000,Z=3.300000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_30Lv_Frame.Icon_30Lv_Frame
70,Tuner_SSR,Tuner,"NSLOCTEXT(""DT"", ""Tuner_SSR"", ""?쒕꼫 SSR?깃툒"")",SSR,RANGED,ARCHER,3.2,3.2,3.2,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Tuner.Icon_Tuner,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Tuner/SKM_Tuner_Base.SKM_Tuner_Base,/Game/Blueprint/PlayerCharacter/ABP/21_Tuner/ABP_Tuner.ABP_Tuner_C,/Game/Blueprint/PlayerCharacter/ABP/21_Tuner/Tuner_Base_Dead_Montage.Tuner_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/21_Tuner/Tuner_Base_Attack_Montage.Tuner_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',12,12,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Tuner.Icon_Tuner,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Tuner.GA_Attack_Tuner_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Tuner.GA_Attack_Tuner_C',/Game/Blueprint/PlayerCharacter/ABP/21_Tuner/Tuner_Base_Damage_Montage.Tuner_Base_Damage_Montage,"(X=3.200000,Y=3.200000,Z=3.300000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_50Lv_Frame.Icon_50Lv_Frame
71,Writer_UR,Writer,"NSLOCTEXT(""DT"", ""Writer_UR"", ""?쇱씠??UR?깃툒 (怨좎쑀)"")",UR,MELEE,MAGICIAN,3.8,6.2,3.8,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Writer.Icon_Writer,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Writer/SKM_Writer_Base.SKM_Writer_Base,/Game/Blueprint/PlayerCharacter/ABP/22_Writer/ABP_writer.ABP_writer_C,/Game/Blueprint/PlayerCharacter/ABP/22_Writer/Writer_Base_Dead_Montage.Writer_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/22_Writer/Writer_Base_Attack2_Montage.Writer_Base_Attack2_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',20,15,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Writer.Icon_Writer,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Writer.GA_Attack_Writer_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Writer.GA_Attack_Writer_C',/Game/Blueprint/PlayerCharacter/ABP/22_Writer/Writer_Base_Attacked_Montage.Writer_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.300000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_Writer_Frame.Icon_Writer_Frame
